Country,Region,Population,Area,Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),GDP($/capita),Birthrate,Deathrate,Agriculture,Industry,Service
Germany,WESTERN EUROPE,82422299,357021,"0,67","2,18","4,16",27600,8.25,10.62,0.009,0.296,0.695
Ghana,SUB-SAHARAN AFRICA,22409572,239460,"0,23","-0,64","51,43",2200,30.52,9.72,0.366,0.246,0.387
Gibraltar,WESTERN EUROPE,27928,7,"171,43",0,"5,13",17500,10.74,9.31,,,
Greece,WESTERN EUROPE,10688058,131940,"10,37","2,35","5,53",20000,9.68,10.24,0.054,0.213,0.733
Greenland,NORTHERN AMERICA,56361,2166086,"2,04","-8,37","15,82",20000,15.93,7.84,,,
Grenada,LATIN AMER. & CARIB,89703,344,"35,17","-13,92","14,62",5000,22.08,6.88,0.054,0.18,0.766
Guadeloupe,LATIN AMER. & CARIB,452776,1780,"17,19","-0,15","8,6",8000,15.05,6.09,0.15,0.17,0.68
Guam,OCEANIA,171019,541,"23,20",0,"6,94",21000,18.79,4.48,,,
Guatemala,LATIN AMER. & CARIB,12293545,108890,"0,37","-1,67","35,93",4100,29.88,5.2,0.227,0.188,0.585
Guernsey,WESTERN EUROPE,65409,78,"64,10","3,84","4,71",20000,8.81,10.01,0.03,0.1,0.87
Guinea,SUB-SAHARAN AFRICA,9690222,245857,"0,13","-3,06","90,37",2100,41.76,15.48,0.237,0.362,0.401
Guinea-Bissau,SUB-SAHARAN AFRICA,1442029,36120,"0,97","-1,57","107,17",800,37.22,16.53,0.62,0.12,0.26
Guyana,LATIN AMER. & CARIB,767245,214970,"0,21","-2,07","33,26",4000,18.28,8.28,0.37,0.203,0.427
Haiti,LATIN AMER. & CARIB,8308504,27750,"6,38","-3,4","73,45",1600,36.44,12.17,0.28,0.2,0.52
Honduras,LATIN AMER. & CARIB,7326496,112090,"0,73","-1,99","29,32",2600,28.24,5.28,0.139,0.312,0.549
Hong Kong,ASIA (EX. NEAR EAST),6940432,1092,"67,12","5,24","2,97",28800,7.29,6.29,0.001,0.092,0.906
Hungary,EASTERN EUROPE,9981334,93030,"0,00","0,86","8,57",13900,9.72,13.11,0.037,0.312,0.651
Iceland,WESTERN EUROPE,299388,103000,"4,83","2,38","3,31",30900,13.64,6.72,0.086,0.15,0.765
India,ASIA (EX. NEAR EAST),1095351995,3287590,"0,21","-0,07","56,29",2900,22.01,8.18,0.186,0.276,0.538
Indonesia,ASIA (EX. NEAR EAST),245452739,1919440,"2,85",0,"35,6",3200,20.34,6.25,0.134,0.458,0.408
Iran,ASIA (EX. NEAR EAST),68688433,1648000,"0,15","-0,84","41,58",7000,17,5.55,0.116,0.424,0.46
Iraq,NEAR EAST,26783383,437072,"0,01",0,"50,25",1500,31.98,5.37,0.073,0.666,0.261
Ireland,WESTERN EUROPE,4062235,70280,"2,06","4,99","5,39",29600,14.45,7.82,0.05,0.46,0.49
Isle of Man,WESTERN EUROPE,75441,572,"27,97","5,36","5,93",21000,11.05,11.19,0.01,0.13,0.86
Israel,NEAR EAST,6352117,20770,"1,31","0,68","7,03",19800,17.97,6.18,0.026,0.317,0.657
Italy,WESTERN EUROPE,58133509,301230,"2,52","2,07","5,94",26700,8.72,10.4,0.021,0.291,0.688
Jamaica,LATIN AMER. & CARIB,2758124,10991,"9,30","-4,92","12,36",3900,20.82,6.52,0.049,0.337,0.615
Japan,ASIA (EX. NEAR EAST),127463611,377835,"7,87",0,"3,26",28200,9.37,9.16,0.017,0.258,0.725
Jersey,WESTERN EUROPE,91084,116,"60,34","2,76","5,24",24800,9.3,9.28,0.05,0.02,0.93
Jordan,NEAR EAST,5906760,92300,"0,03","6,59","17,35",4300,21.25,2.65,0.033,0.287,0.68
Kazakhstan,C.W. OF IND. STATES,15233244,2717300,"0,00","-3,35","29,21",6300,16,9.42,0.067,0.386,0.547
Kenya,SUB-SAHARAN AFRICA,34707817,582650,"0,09","-0,1","61,47",1000,39.72,14.02,0.163,0.188,0.651
Kiribati,OCEANIA,105432,811,"140,94",0,"48,52",800,30.65,8.26,0.089,0.242,0.668
"Korea, North",ASIA (EX. NEAR EAST),23113019,120540,"2,07",0,"24,04",1300,15.54,7.13,0.3,0.34,0.36
"""Korea, South""",ASIA (EX. NEAR EAST),48846823,98480,"2,45",0,"7,05",17800,10,5.85,0.033,0.403,0.563
Kuwait,NEAR EAST,2418393,17820,"2,80","14,18","9,95",19000,21.94,2.41,0.004,0.479,0.516
Kyrgyzstan,C.W. OF IND. STATES,5213898,198500,"0,00","-2,45","35,64",1600,22.8,7.08,0.353,0.208,0.439
Laos,ASIA (EX. NEAR EAST),6368481,236800,"0,00",0,"85,22",1700,35.49,11.55,0.455,0.287,0.258
Latvia,BALTICS,2274735,64589,"0,82","-2,23","9,55",10200,9.24,13.66,0.04,0.261,0.699
Lebanon,NEAR EAST,3874050,10400,"2,16",0,"24,52",4800,18.52,6.21,0.12,0.21,0.67
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,"0,00","-0,74","84,23",3000,24.75,28.71,0.163,0.443,0.394
Liberia,SUB-SAHARAN AFRICA,3042004,111370,"0,52",0,"128,87",1000,44.77,23.1,0.769,0.054,0.177
Libya,NORTHERN AFRICA,5900754,1759540,"0,10",0,"24,6",6400,26.49,3.48,0.076,0.499,0.425
Liechtenstein,WESTERN EUROPE,33987,160,"0,00","4,85","4,7",25000,10.21,7.18,0.06,0.39,0.55
Lithuania,BALTICS,3585906,65200,"0,14","-0,71","6,89",11400,8.75,10.98,0.055,0.325,0.62
Luxembourg,WESTERN EUROPE,474413,2586,"0,00","8,97","4,81",55100,11.94,8.41,0.01,0.13,0.86
Macau,ASIA (EX. NEAR EAST),453125,28,"146,43","4,86","4,39",19400,8.48,4.47,0.001,0.072,0.927
Macedonia,EASTERN EUROPE,2050554,25333,"0,00","-1,45","10,09",6700,12.02,8.77,0.118,0.319,0.563
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,"0,82",0,"76,83",800,41.41,11.11,0.276,0.165,0.559
Malawi,SUB-SAHARAN AFRICA,13013926,118480,"0,00",0,"103,32",600,43.13,19.33,0.342,0.158,0.499
Malaysia,ASIA (EX. NEAR EAST),24385858,329750,"1,42",0,"17,7",9000,22.86,5.05,0.084,0.48,0.436
Maldives,ASIA (EX. NEAR EAST),359008,300,"214,67",0,"56,52",3900,34.81,7.06,0.2,0.18,0.62
Mali,SUB-SAHARAN AFRICA,11716829,1240000,"0,00","-0,33","116,79",900,49.82,16.89,0.45,0.17,0.38
Malta,WESTERN EUROPE,400214,316,"62,28","2,07","3,89",17700,10.22,8.1,0.03,0.23,0.74
Marshall Islands,OCEANIA,60422,11854,"3,12","-6,04","29,45",1600,33.05,4.78,0.317,0.149,0.534
Martinique,LATIN AMER. & CARIB,436131,1100,"31,82","-0,05","7,09",14400,13.74,6.48,0.06,0.11,0.83
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,"0,07",0,"70,89",1800,40.99,12.16,0.25,0.29,0.46
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,"8,68","-0,9","15,03",11400,15.43,6.86,0.059,0.298,0.643
Mayotte,SUB-SAHARAN AFRICA,201234,374,"49,52","6,78","62,4",2600,40.95,7.7,,,
Mexico,LATIN AMER. & CARIB,107449525,1972550,"0,47","-4,87","20,91",9000,20.69,4.74,0.038,0.259,0.702
"Micronesia, Fed. St.",OCEANIA,108004,702,"870,66","-20,99","30,21",2000,24.68,4.75,0.289,0.152,0.559
Moldova,C.W. OF IND. STATES,4466706,33843,"0,00","-0,26","40,42",1800,15.7,12.64,0.213,0.233,0.555
Monaco,WESTERN EUROPE,32543,2,"205,00","7,75","5,43",27000,9.19,12.91,0.17,,
Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,"0,00",0,"53,79",1800,21.59,6.95,0.206,0.214,0.58
Montserrat,LATIN AMER. & CARIB,9439,102,"39,22",0,"7,35",3400,17.59,7.1,,,
Morocco,NORTHERN AFRICA,33241259,446550,"0,41","-0,98","41,62",4000,21.98,5.58,0.217,0.357,0.426
Mozambique,SUB-SAHARAN AFRICA,19686505,801590,"0,31",0,"130,79",1200,35.18,21.35,0.262,0.348,0.39
Namibia,SUB-SAHARAN AFRICA,2044147,825418,"0,19",0,"48,98",7200,24.32,18.86,0.097,0.315,0.588
Nauru,OCEANIA,13287,21,"142,86",0,"9,95",5000,24.76,6.7,,,
Nepal,ASIA (EX. NEAR EAST),28287147,147181,"0,00",0,"66,98",1400,30.98,9.31,0.38,0.21,0.41
Netherlands,WESTERN EUROPE,16491461,41526,"1,09","2,91","5,04",28600,10.9,8.68,0.021,0.244,0.736
Netherlands Antilles,LATIN AMER. & CARIB,221736,960,"37,92","-0,41","10,03",11400,14.78,6.45,0.01,0.15,0.84
New Caledonia,OCEANIA,219246,19060,"11,83",0,"7,72",15000,18.11,5.69,0.15,0.088,0.762
New Zealand,OCEANIA,4076140,268680,"5,63","4,05","5,85",21600,13.76,7.53,0.043,0.273,0.684
Nicaragua,LATIN AMER. & CARIB,5570129,129494,"0,70","-1,22","29,11",2300,24.51,4.45,0.165,0.275,0.56
Niger,SUB-SAHARAN AFRICA,12525094,1267000,"0,00","-0,67","121,69",800,50.73,20.91,0.39,0.17,0.44
